Gen,hypercube0,hypercube1,hypercube2,hypercube3
470,3.39E-08,9.31E-05,0.032164717,0.000482961
471,3.39E-08,8.64E-05,0.032164717,0.00021444
472,3.39E-08,8.64E-05,0.032160931,0.00021444
473,3.39E-08,8.14E-05,0.032164717,0.00021444
474,3.39E-08,2.72E-05,0.032160931,0.00021444
475,3.39E-08,2.72E-05,0.031240069,0.00021444
476,3.39E-08,6.44E-06,0.031240069,0.00021444
477,3.39E-08,6.44E-06,0.028680609,7.92E-05
478,3.39E-08,4.09E-06,0.030091572,8.59E-05
479,3.39E-08,4.09E-06,0.028676823,7.92E-05
480,3.39E-08,5.10E-07,0.028651044,7.92E-05
481,3.39E-08,5.10E-07,0.027039482,7.92E-05
482,3.39E-08,5.10E-07,0.027035696,7.92E-05
483,3.39E-08,5.10E-07,0.025445881,7.92E-05
484,3.39E-08,5.10E-07,0.025445881,6.15E-06
485,3.39E-08,5.10E-07,0.024962903,6.15E-06
486,3.39E-08,5.10E-07,0.024407298,6.15E-06
487,3.39E-08,5.10E-07,0.023296675,6.15E-06
488,3.39E-08,5.10E-07,0.022813697,5.19E-06
489,3.39E-08,5.10E-07,0.021408603,5.19E-06
490,3.39E-08,2.33E-07,0.021408603,4.99E-06
491,3.39E-08,2.06E-07,0.020925626,5.19E-06
492,3.39E-08,1.80E-07,0.021408603,4.99E-06
493,3.39E-08,1.80E-07,0.01990019,4.99E-06
494,3.39E-08,1.80E-07,0.019417213,4.99E-06
495,3.39E-08,1.73E-07,0.019150337,4.17E-06
496,3.39E-08,1.46E-07,0.019150337,4.17E-06
497,3.39E-08,1.46E-07,0.019150337,4.17E-06
498,3.39E-08,1.46E-07,0.019150337,4.17E-06
499,3.39E-08,1.46E-07,0.019150337,4.17E-06
500,3.39E-08,1.46E-07,0.019150337,4.17E-06
501,3.39E-08,1.29E-07,0.018759687,4.17E-06
502,3.39E-08,1.29E-07,0.018759687,4.17E-06
503,3.39E-08,1.29E-07,0.018759687,4.17E-06
504,3.39E-08,1.29E-07,0.01779516,4.17E-06
505,3.39E-08,1.29E-07,0.017045907,4.17E-06
506,3.39E-08,1.29E-07,0.016573448,4.17E-06
507,3.39E-08,1.29E-07,0.016436769,4.17E-06
508,3.39E-08,1.29E-07,0.015058046,4.17E-06
509,3.39E-08,1.29E-07,0.014871125,4.17E-06
510,3.39E-08,1.29E-07,0.014871125,4.17E-06
511,3.39E-08,1.29E-07,0.014354575,3.84E-06
512,3.39E-08,1.29E-07,0.013648101,3.84E-06
513,3.39E-08,1.29E-07,0.013405229,3.84E-06
514,3.39E-08,1.29E-07,0.013163834,1.03E-06
515,3.39E-08,1.29E-07,0.012182205,1.41E-06
516,3.39E-08,1.29E-07,0.0120112,1.03E-06
517,3.39E-08,1.29E-07,0.011341856,1.03E-06
518,3.39E-08,1.29E-07,0.011824279,1.03E-06
519,3.39E-08,1.29E-07,0.01153438,1.03E-06
